item	entity
147	147
148	148
149	149
1808	1808
1807	1807
1806	1806
1805	1805
1804	1804
1803	1803
1802	1802
1801	1801
150	150
151	151
152	152
153	153
1811	1811
154	154
155	155
1810	1810
156	156
157	157
158	158
159	159
1819	1819
1818	1818
1817	1817
1816	1816
1815	1815
1814	1814
1813	1813
1812	1812
160	160
161	161
162	162
163	163
164	164
165	165
1822	1822
1821	1821
166	166
1820	1820
167	167
168	168
169	169
1829	1829
1828	1828
1827	1827
1826	1826
1825	1825
1824	1824
1823	1823
170	170
171	171
172	172
173	173
174	174
175	175
1833	1833
176	176
1832	1832
177	177
1831	1831
178	178
1830	1830
179	179
1839	1839
1838	1838
1837	1837
1836	1836
1835	1835
1834	1834
180	180
181	181
182	182
183	183
184	184
185	185
186	186
187	187
1844	1844
188	188
1843	1843
189	189
1842	1842
1841	1841
1840	1840
1849	1849
1848	1848
1847	1847
1846	1846
1845	1845
190	190
191	191
192	192
193	193
194	194
195	195
196	196
197	197
2702	2702
198	198
1855	1855
2701	2701
199	199
1854	1854
2700	2700
1853	1853
1852	1852
1851	1851
1850	1850
2709	2709
2708	2708
2707	2707
2706	2706
1859	1859
1858	1858
2705	2705
2704	2704
1857	1857
1856	1856
2703	2703
2713	2713
1866	1866
2712	2712
1865	1865
1864	1864
2711	2711
1863	1863
2710	2710
1862	1862
1861	1861
1860	1860
2719	2719
2718	2718
2717	2717
1869	1869
2716	2716
1868	1868
2715	2715
2714	2714
1867	1867
1880	1880
2724	2724
1877	1877
1876	1876
2723	2723
2722	2722
1875	1875
1874	1874
2721	2721
2720	2720
1873	1873
1872	1872
1871	1871
1870	1870
2729	2729
2728	2728
2727	2727
1879	1879
2726	2726
2725	2725
1878	1878
1891	1891
1890	1890
1888	1888
2735	2735
1404	1404
1403	1403
1887	1887
2734	2734
1402	1402
2733	2733
1886	1886
2732	2732
1885	1885
1401	1401
1400	1400
2731	2731
1884	1884
1883	1883
2730	2730
1882	1882
1881	1881
1409	1409
1408	1408
2739	2739
2738	2738
1407	1407
2737	2737
1406	1406
1889	1889
1405	1405
2736	2736
1899	1899
2746	2746
1415	1415
2745	2745
1898	1898
1414	1414
2744	2744
1897	1897
1413	1413
1412	1412
1896	1896
2743	2743
1411	1411
2742	2742
1895	1895
2741	2741
1410	1410
1894	1894
2740	2740
1893	1893
1892	1892
1419	1419
2749	2749
1418	1418
2748	2748
1417	1417
1416	1416
2747	2747
2760	2760
1426	1426
2757	2757
1425	1425
2756	2756
1424	1424
2755	2755
1423	1423
2754	2754
1422	1422
2753	2753
1421	1421
2752	2752
1420	1420
2751	2751
2750	2750
1429	1429
1428	1428
2759	2759
1427	1427
2758	2758
2771	2771
1440	1440
2770	2770
1437	1437
2768	2768
2767	2767
1436	1436
2766	2766
1435	1435
2765	2765
1434	1434
1433	1433
2764	2764
1432	1432
2763	2763
2762	2762
1431	1431
1430	1430
2761	2761
1439	1439
2769	2769
1438	1438
2782	2782
1451	1451
1450	1450
2781	2781
2780	2780
2779	2779
1448	1448
2778	2778
1447	1447
2777	2777
1446	1446
1445	1445
2776	2776
2775	2775
1444	1444
1443	1443
2774	2774
2773	2773
1442	1442
2772	2772
1441	1441
1449	1449
